date,code,open,high,low,close,volume,amount
2016-07-18,sh.601398,4.31,4.35,4.31,4.34,58448115,253685834.0
2016-07-19,sh.601398,4.34,4.35,4.29,4.3,83653833,360670784.0
2016-07-20,sh.601398,4.3,4.31,4.27,4.28,52772357,226295902.0
2016-07-21,sh.601398,4.28,4.3,4.26,4.28,74667293,319909888.0
2016-07-22,sh.601398,4.28,4.29,4.24,4.28,70445357,300284448.0
2016-07-25,sh.601398,4.26,4.3,4.26,4.29,66019787,283002832.0
2016-07-26,sh.601398,4.29,4.32,4.27,4.31,59875814,257577499.0
2016-07-27,sh.601398,4.31,4.32,4.24,4.31,104570068,448543024.0
2016-07-28,sh.601398,4.3,4.31,4.28,4.29,57911779,248621817.0
2016-07-29,sh.601398,4.29,4.3,4.28,4.3,35004529,150323737.0
2016-08-01,sh.601398,4.3,4.33,4.29,4.33,73572877,317506880.0
2016-08-02,sh.601398,4.32,4.34,4.31,4.34,45228648,195735431.0
2016-08-03,sh.601398,4.33,4.34,4.32,4.33,67941362,294318736.0
2016-08-04,sh.601398,4.32,4.33,4.31,4.33,52886153,228364237.0
2016-08-05,sh.601398,4.31,4.33,4.3,4.33,58463993,252398294.0
2016-08-08,sh.601398,4.32,4.35,4.32,4.34,47988242,208067038.0
2016-08-09,sh.601398,4.33,4.37,4.33,4.37,90851724,395402688.0
2016-08-10,sh.601398,4.37,4.39,4.35,4.38,66893288,292771232.0
2016-08-11,sh.601398,4.38,4.47,4.38,4.42,127544975,565050816.0
2016-08-12,sh.601398,4.42,4.51,4.4,4.5,139550563,623687440.0
2016-08-15,sh.601398,4.51,4.61,4.48,4.58,190796136,869842016.0
2016-08-16,sh.601398,4.59,4.59,4.39,4.44,379202624,1690569280.0
2016-08-17,sh.601398,4.43,4.45,4.41,4.44,111953777,495822608.0
2016-08-18,sh.601398,4.43,4.46,4.41,4.43,120802807,535750848.0
2016-08-19,sh.601398,4.44,4.44,4.41,4.44,77286861,341969328.0
2016-08-22,sh.601398,4.43,4.49,4.43,4.47,120534917,537380976.0
2016-08-23,sh.601398,4.47,4.53,4.46,4.52,140575529,633880192.0
2016-08-24,sh.601398,4.52,4.53,4.5,4.52,97280725,439059216.0
2016-08-25,sh.601398,4.51,4.53,4.48,4.52,127172549,573139616.0
2016-08-26,sh.601398,4.52,4.52,4.49,4.5,66375925,298860432.0
2016-08-29,sh.601398,4.49,4.5,4.43,4.49,85397545,381490384.0
2016-08-30,sh.601398,4.48,4.51,4.47,4.51,73462568,329623632.0
2016-08-31,sh.601398,4.5,4.53,4.49,4.53,62221953,280764464.0
