date,code,open,high,low,close,volume,amount,SMA_20,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Diff
2002-04-25,sh.600519,35.1,35.68,35.1,35.51,259676,9206508.0,36.966,36.834778634610764,34.57849237254342,-0.5802713461674074,-0.3504787163672661,-0.2297926298001413
2002-04-26,sh.600519,35.5,36.08,35.4,36.02,238123,8537641.0,36.903999999999996,36.75718066940974,40.70005960087494,-0.5701127495098106,-0.394405522995775,-0.17570722651403559
2002-04-29,sh.600519,36.2,37.0,36.2,36.35,466521,17015082.0,36.8415,36.718401558037385,44.32993918431023,-0.5293319373192702,-0.42139080586047406,-0.10794113145879614
2002-04-30,sh.600519,36.48,36.6,35.95,36.2,597847,21592851.0,36.8005,36.669029981081444,43.04027972186229,-0.503314697713364,-0.43777558423105206,-0.06553911348231195
2002-05-08,sh.600519,36.31,36.5,36.02,36.25,170049,6152534.0,36.764,36.62912236383559,43.62898401696851,-0.47320643650972016,-0.44486175468678574,-0.028344681822934426
2002-05-09,sh.600519,36.0,36.45,36.0,36.03,171221,6186437.0,36.6865,36.57206309108934,41.59204963386755,-0.46177453458082596,-0.44824431066559384,-0.01353022391523212
2002-05-10,sh.600519,36.05,36.13,35.65,35.66,268850,9625820.0,36.6055,36.48519993955702,38.349233301564624,-0.4770711979176667,-0.45400968811600845,-0.023061509801658275
2002-05-13,sh.600519,35.57,35.7,35.38,35.4,283074,10033864.0,36.5255,36.38184756436112,36.21260905569805,-0.5043597951426264,-0.4640797095213321,-0.040280085621294315
2002-05-14,sh.600519,35.4,36.48,35.21,35.48,507003,18159637.0,36.428,36.295957320136246,37.36888876938564,-0.5136102938785001,-0.4739858263927657,-0.039624467485734394
2002-05-15,sh.600519,35.68,35.69,35.2,35.34,224430,7948908.0,36.321000000000005,36.20491376583755,36.13444259202285,-0.5261728180290746,-0.48442322472002747,-0.041749593309047095
2002-05-16,sh.600519,35.25,35.36,34.91,34.96,554983,19465458.0,36.194500000000005,36.0863505500435,32.95251170110514,-0.5603323703632412,-0.49960505384867027,-0.06072731651457097
2002-05-17,sh.600519,34.89,35.59,34.75,35.04,385968,13508333.0,36.0465,35.98669811670602,34.264886475919056,-0.5743282319314531,-0.5145496894652268,-0.05977854246622627
2002-05-20,sh.600519,34.99,34.99,34.5,34.51,335369,11623861.0,35.8775,35.846060200829264,30.06610649032359,-0.6210278017420876,-0.535845311920599,-0.08518248982148857
